#ess=261.961658509 nsamp=1309
#post like m1 m2 tRef dist phase inc lambda beta pol 
-71.5496568192 -9.74166403449 1499569.42611 500149.041407 88.5123087825 77874.5283672 6.11001187578 0.314089969443 1.2732411126 -1.39412030602 2.91044953189 
-65.5553994403 -5.02496847068 1499539.40065 500036.515681 8.11250738078 38050.6650068 3.71273967678 1.02960958781 2.07233303461 -1.34154190293 0.19028206439 
-66.4074009191 -7.06694984267 1498824.29293 500746.605628 -365.152932889 53900.7102553 1.45502702459 2.30822192502 3.001630723 -0.524128114192 2.3024900492 
-64.8565754906 -5.52859055437 1500028.99697 500222.730363 -354.652891045 49888.3007088 3.32820245716 2.27435248837 2.9572419148 -0.553429816209 0.90178397367 
-66.1557558634 -5.95811686979 1498971.74424 500658.865461 -377.50851712 78915.6858613 2.05916671285 2.8337589994 2.95967159648 -0.45685504688 1.1336207402 
-66.553059172 -5.91064016911 1497962.28523 500550.433008 9.33938561332 38849.789229 0.673132246063 1.01937067741 2.12370766238 -1.36490568191 0.172480147926 
-69.2940496012 -7.18583593285 1500996.45058 499775.419938 91.9316586512 80181.7836858 2.39382612161 0.231787675636 1.225834711 -1.39477704808 2.22834922326 
-67.5788337574 -5.70446402935 1500539.54113 499986.019758 94.4396698317 79622.1473778 5.42449020542 0.284781674096 1.21111213456 -1.38887225394 2.02495227448 
-65.438195069 -6.15275753057 1500868.09979 500115.448245 -346.830341707 46706.5497575 0.355058002403 2.2220136083 2.8689916575 -0.552169425707 1.09495766244 
-62.9637265209 -2.52263867477 1501648.28024 499346.668432 11.0402998076 38524.6513069 2.21939450803 1.02341596543 1.99589878401 -1.31870578883 1.79914152315 
-65.1473140688 -4.0704985612 1499116.50032 500342.064493 70.6581168687 61335.4248593 1.79451188385 0.696176781228 1.48230973756 -1.39394809508 2.33400260936 
-68.5377876644 -7.57321392058 1499339.61189 500039.38705 86.3812111438 65545.8109029 2.22600940174 0.650772268056 1.34490302204 -1.3610006167 2.21786658556 
-68.8112702898 -9.28160351876 1499576.59647 500348.623397 -369.926393453 64874.2029649 2.44238491103 2.50066447468 2.9287839298 -0.480588402978 1.09656957105 
-65.5264025907 -4.95224398549 1500537.73844 499765.36535 5.50043419398 37744.621829 3.63102697057 1.02876213447 2.1210284897 -1.35137361486 0.162829061623 
-68.7774499816 -7.45839344495 1499374.87328 500511.82978 70.0672451519 59557.0638329 2.04760691725 0.739888212347 1.45435315606 -1.43900945977 2.60747782492 
-63.1006031087 -2.30104406725 1501386.04848 499540.639484 25.2789971287 43947.5066549 6.13400395636 0.948642217591 1.98630738149 -1.38657963175 1.90335287507 
-71.7880472248 -10.6216257531 1503271.02491 498995.314239 96.5641493932 71535.4962991 5.66561149842 0.549001785391 1.21419861262 -1.37180220034 2.17649151556 
-68.6985766502 -8.46292460657 1498138.84408 500994.136801 -377.140822835 78868.5615555 4.34291740164 2.8453200034 2.95750410257 -0.458461358896 2.0089541368 
-67.385107069 -6.13057396823 1498858.41856 500406.153745 82.3845350069 69182.2777283 2.30239681793 0.552535785376 1.35008465151 -1.38985966963 2.44509097849 
-68.0278158158 -6.62253145414 1501778.24775 499397.898136 88.7794298407 73132.6545459 2.53545229459 0.471091159409 1.27340664085 -1.39086311796 2.4716435254 
-65.9600709488 -6.47022150404 1498993.61043 500574.025458 -373.315759669 64007.4868581 2.61849190824 2.46984341521 2.97308367219 -0.480864016679 0.765086945591 
-66.9748094017 -7.52249007864 1499248.93904 500478.287772 -379.155194414 64563.9454453 2.56043609792 2.44702518089 2.99984681321 -0.462293615347 0.561737254621 
-63.8315808633 -3.34007704299 1500754.43924 499821.009947 12.4893536684 39244.1182131 2.29575796938 1.01378507435 2.0046545068 -1.32980904751 1.79662868294 
-64.7640905529 -5.42747903394 1497171.28613 501233.828418 -354.311585212 51254.5450496 3.25556735235 2.29002333176 2.9354175911 -0.545273019123 0.967972222395 
-64.7185478081 -4.34886990581 1498629.78211 500558.993292 4.94636344739 36906.7097987 0.361768316033 1.04401581603 2.02313732282 -1.30286711521 0.19485872145 
-62.3425891445 -3.06822020613 1499449.56863 500557.76733 -344.742125093 42396.5475678 5.40578795823 2.16418495019 2.98716924763 -0.599148094105 2.41434980078 
-66.9980130668 -6.14951157669 1497942.33028 500931.633492 42.4025754688 49389.8342746 3.70111934487 0.875106325593 1.79772095326 -1.38498364887 2.05039096643 
-66.5955824141 -5.55409003049 1499659.44357 500106.589297 71.6442532037 60403.944858 3.40061277418 0.71794884452 1.47281434712 -1.39220028117 0.765402950826 
-63.0843783312 -1.90479972993 1500827.0476 499778.232087 35.4171297838 46121.8348808 3.57545390796 0.930325921939 2.00832463964 -1.44348584694 1.98004131938 
-69.6619241937 -7.87583098182 1500569.8203 499672.55672 92.6191227562 78446.5726566 5.63330843592 0.324142909376 1.21904170065 -1.39568698115 2.30279914033 
-68.7730543982 -7.90399353148 1498446.17234 500302.843216 59.5574121415 55372.3022372 5.98637645451 0.791340378302 1.60652008592 -1.37440073372 0.627637910628 
-75.3403583497 -13.6177947588 1499942.0506 500589.540994 88.2131223609 77213.4754481 4.1173234483 0.349024052473 1.26871801866 -1.39678018436 0.931956570734 
-67.0482120326 -6.37898306781 1501477.14084 499605.28481 26.3575233753 44168.5925585 4.51776903424 0.942657418924 1.91956546119 -1.35961142161 0.324238453594 
-65.1247743145 -4.35324914515 1500394.86652 499914.286118 82.3488765107 59948.5315222 5.17758996204 0.754925470771 1.39337491811 -1.34546840399 2.16620704117 
-65.3394142973 -5.91387853614 1500860.51148 500099.140781 -366.434425274 59527.9393939 1.16435841737 2.40616834796 2.93904960289 -0.500518148993 2.54393779884 
-70.7753912737 -11.3102345138 1499016.45776 500597.332507 -387.323674327 69173.0778551 2.50082386977 2.47495189665 2.9812357189 -0.416017653332 0.247000526403 
-64.5513991804 -4.12993440015 1500008.92339 499986.874037 19.2469657143 40383.596953 0.982322303528 1.00186916383 1.91497508348 -1.3099834058 0.286186197206 
-63.7090258305 -2.94007155276 1498252.88445 500577.614142 26.7967191718 44225.9998966 6.17729579939 0.94514131385 1.96275746191 -1.3803033928 1.91401838598 
-70.33010564 -8.81351229205 1501739.91669 499250.033628 86.1040424439 74760.5439332 0.874364394652 0.41611334776 1.30313755656 -1.39009295679 0.897727597154 
-73.8446306561 -12.8556935971 1499902.85587 500263.370224 65.7311206216 58287.6517625 1.58707822515 0.753063135182 1.53017146012 -1.38961492834 2.29105266935 
-64.7251823236 -5.32482919033 1500048.60538 500301.459607 -364.002155377 57002.1319879 4.48987623403 2.37420045573 2.95554738172 -0.516975337527 2.46741842209 
-69.0099225894 -7.99116520211 1500053.73047 500138.308902 92.264558561 67157.309314 0.882264225469 0.63362975994 1.27024398573 -1.36741104085 0.672083971261 
-65.6501508577 -4.37614162412 1500591.12539 499967.575025 47.9616732382 50197.9099811 1.01070541844 0.876564067509 1.81605367827 -1.44994869591 2.19460634931 
-68.7410522393 -7.02258315682 1500758.3099 499745.275151 95.2700183455 78225.3105601 4.2229453615 0.340486552393 1.19444468159 -1.39201640335 0.801227995635 
-68.0432274036 -7.19301535474 1499599.48519 500234.254899 79.9008108047 61368.9327311 1.9403776128 0.723796605246 1.41166236369 -1.35541979249 2.16048401917 
-65.7815611011 -6.07307989371 1499431.24963 500440.800375 -376.790945805 72139.9043969 3.57729652453 2.62510502737 2.94693018491 -0.455724006917 2.79236059602 
-69.8559022477 -9.45415877312 1503350.71586 498839.311382 17.4640887808 39919.075139 4.01981688717 1.00839200559 1.91864071992 -1.30580993424 0.256192657485 
-68.164510819 -8.8795495886 1502018.44656 499550.124086 -352.210697761 50016.9207389 6.26399737675 2.25115798506 2.83513468625 -0.513151707008 1.22813281498 
-65.4117639474 -4.04394684825 1499271.61806 500200.983027 36.9797973449 45680.5804565 2.11497443642 0.942723776901 2.09005894514 -1.46640023669 0.359032215214 
-65.7905571248 -4.36445670575 1499876.24332 500140.243554 52.9219048726 51193.4953412 1.27911755899 0.866659915324 1.7571981318 -1.46620871391 2.29059007805 
-68.2157815385 -8.36189396045 1499670.13928 500586.360125 -376.968287878 74953.7873455 0.222225604523 2.70058272027 2.94663143723 -0.454102046875 2.99837215595 
-68.9041588576 -7.19804610062 1499175.7747 500242.274784 91.9181307876 77712.287862 3.7625290224 0.338717729996 1.24629840442 -1.38886165582 0.446328026902 
-68.1036473294 -6.85102415981 1499458.30821 500340.435994 99.6648794809 71460.4110936 0.661643381341 0.568830745182 1.13553037585 -1.39415598738 0.237398801797 
-69.4810346832 -8.19051282917 1497320.93372 500954.919917 84.1204658043 67137.7331977 1.00531295812 0.608136688005 1.30445434782 -1.41063703191 1.10578975179 
-71.5916971112 -10.0327246527 1499191.28344 499975.874661 91.0823930268 75477.4642539 1.4664798514 0.416773403546 1.23497747248 -1.39797219898 1.33107626109 
-69.1061450407 -6.54331871885 1500133.58496 499938.243634 91.4187541342 81385.4885158 4.08359909398 0.145172206394 1.24167568309 -1.39342290728 0.791434225326 
-69.6537454458 -10.1854992246 1501755.27705 499643.79972 -385.065187635 67428.6915978 0.954099536822 2.46993715342 2.99464239338 -0.436950006548 1.92559359786 
-63.3431626715 -2.80944338185 1500743.36548 499801.039927 29.4830487581 43924.0660342 6.15516111315 0.9549537343 1.85126250585 -1.33058421545 1.91100545595 
-68.4037291041 -8.782761026 1496601.04984 501627.254251 -373.147296901 68960.4576065 3.84427118775 2.56789816632 2.94592386844 -0.468664744855 2.66792597041 
