#ess=1298.59875324 nsamp=6492
#post like m1 m2 tRef dist phase inc lambda beta pol 
-67.3105453753 -5.3006560487 1499994.34842 499978.670437 30.9142298989 31951.5683368 1.96904111844 1.10101843257 2.45866898034 1.52101414368 2.97936194688 
-63.9426083319 -2.39859935502 1499385.67024 500207.728053 14.7989733453 35683.5485952 5.9710087459 1.04444689199 3.65354318955 1.48893165593 2.57253554997 
-67.4956823601 -5.80173454166 1497588.41794 500792.735267 16.4392578202 34480.3043682 4.45764906069 1.06829406065 3.26913978699 1.50129768586 0.6251011771 
-65.0490667583 -3.39207629149 1500378.38641 499797.22684 15.6838219899 34081.8124672 5.98837102683 1.07671923506 2.87865958033 1.49901634402 1.80897824077 
-64.2832560142 -3.45066478068 1500340.60726 499944.741271 -14.8526518159 40947.6848152 4.61618956281 0.975682833131 3.86866785636 1.39597168539 2.71011452511 
-63.2819566033 -2.40576347196 1501191.40657 499642.052669 -26.7250747224 40180.3897389 2.48919525177 1.01349435024 3.4728430835 1.40760660687 0.753060614449 
-68.8731131243 -8.35160658613 1501927.34079 499315.989545 -58.1444158695 43545.9983056 2.63232044843 0.991743318008 3.54377693447 1.33374789124 2.34504358007 
-66.7136143756 -6.00560247351 1498241.44957 500635.611469 -44.0065131228 40386.5294507 3.24981545562 1.03593302514 3.12548892903 1.3800188333 1.97844168402 
-63.775097614 -4.66151608003 1499707.55046 499733.131975 512.650965279 37848.6142131 3.01394951511 2.09292986457 0.00231787058872 0.386306988413 1.11338241201 
-64.7050723627 -3.08656575636 1501314.42472 499608.533156 33.8814145357 34279.9640702 5.29602256125 1.04054941174 4.27197837371 1.49464053666 1.6465190699 
-63.1957742852 -2.43030384497 1500424.86985 499888.20899 -38.6743240805 39571.1698018 3.50081351965 1.04323148859 3.07183163177 1.39157726497 1.93558814221 
-66.9501985786 -5.97971007484 1500911.02755 499733.374836 -17.5802490865 39357.1740131 6.04988036254 1.01788390652 3.54638983347 1.42281265517 0.834702823985 
-64.6225933647 -3.36186432664 1498349.3018 500593.362671 -3.18759701219 36627.0212119 1.98038726017 1.05310960352 3.17914509681 1.46256407713 2.07651558795 
-63.3234552092 -4.18314986432 1501759.3946 499086.461507 514.593821821 41774.9205306 3.08176535739 2.15464152307 6.17246008056 0.356915659958 1.13213503722 
-64.1897997532 -3.31172498036 1501522.11832 499418.548068 -19.4903327951 40527.7952095 1.25575772156 0.992689557989 3.70252951859 1.40575852616 2.54881190975 
-63.9512277887 -2.2336811889 1500165.07624 499918.232919 16.7818851563 34615.1594888 2.90794301194 1.06413690798 3.32019932407 1.50276679616 2.24418896813 
-65.4797321175 -4.77259567089 1499384.19615 500153.386357 -29.1700765007 41863.5005949 3.95025423092 0.981429148457 3.76632469089 1.37313148379 2.58736084266 
-67.0504945088 -6.14783375943 1501374.6476 499407.251245 0.639652853485 39874.790308 5.33490134869 0.969821156218 4.05637116071 1.40731813237 2.92136265384 
-64.6145397323 -3.56667815102 1499812.3748 500013.91903 -15.0168230189 38635.7183923 4.59956790456 1.0271107774 3.40948852901 1.43470057469 2.2904474387 
-67.0409802653 -6.2386415418 1501291.74567 499364.474851 -24.8259947576 41227.2891043 2.57537863802 0.987793635491 3.70922684671 1.39210784131 0.96737084955 
-63.8615070866 -3.11050111556 1500261.841 499784.978838 -36.8679531435 41173.4293358 3.59112055189 1.00889942016 3.47272713572 1.38512927725 2.30809282321 
-66.5529121842 -7.36080119759 1500371.02743 499579.513068 492.085580283 37841.5669821 3.76224420646 2.16453687128 6.13409471012 0.460953746559 2.59262065215 
